Individual,Trial,Predator,Board,Initial ,Total ,Temp. ,TimeScale,Treatment,Brightness.DifferencePercent,Brightness.Difference,EscapeResponse,ColourDiffPercent,ColourDiff,Pattern,Length,Size
56,4,N,H,24,27,21.1,2,NH,26.6645884,0.266645884,SLOW,15.0665411,0.150665411,4,109,10.9
60,1,P,U,0,14,27.4,2,PU,2.9604228,0.029604228,SLOW,11.799309,0.11799309,1,153,15.3
60,2,N,U,7,13,17.3,1,NU,2.9604228,0.029604228,FAST,11.799309,0.11799309,1,153,15.3
60,3,P,H,3,8,17,1,PH,14.2124852,0.142124852,FAST,3.8382111,0.038382111,1,153,15.3
60,4,N,H,23,26,15.9,2,NH,14.2124852,0.142124852,SLOW,3.8382111,0.038382111,1,153,15.3
63,1,P,U,17,20,17.2,2,PU,18.546252,0.18546252,SLOW,15.1937261,0.151937261,2,122,12.2
63,2,N,U,6,9,17.1,1,NU,18.546252,0.18546252,FAST,15.1937261,0.151937261,2,122,12.2
63,3,P,H,0,0,16.1,3,PH,11.4080122,0.114080122,SLOW,47.8067654,0.478067654,2,122,12.2
63,4,N,H,95,97,27.9,2,NH,11.4080122,0.114080122,SLOW,47.8067654,0.478067654,2,122,12.2
64,1,P,U,11,36,25,2,PU,15.5544516,0.155544516,SLOW,28.7895623,0.287895623,4,137,13.7
64,2,N,U,18,25,17.3,2,NU,15.5544516,0.155544516,SLOW,28.7895623,0.287895623,4,137,13.7
64,3,P,H,6,9,16.6,1,PH,10.3543566,0.103543566,FAST,33.4003965,0.334003965,4,137,13.7
64,4,N,H,15,16,15.9,2,NH,10.3543566,0.103543566,SLOW,33.4003965,0.334003965,4,137,13.7
65,1,P,U,15,20,15.9,2,PU,15.0601185,0.150601185,SLOW,23.8729119,0.238729119,4,258,25.8
65,2,N,U,20,22,18.5,2,NU,15.0601185,0.150601185,SLOW,23.8729119,0.238729119,4,258,25.8
65,3,P,H,10,18,17.3,2,PH,8.1321773,0.081321773,SLOW,18.8587066,0.188587066,4,258,25.8
65,4,N,H,21,23,16.9,2,NH,8.1321773,0.081321773,SLOW,18.8587066,0.188587066,4,258,25.8
66,1,P,U,19,27,16.8,2,PU,9.7870966,0.097870966,SLOW,17.2523218,0.172523218,2,271,27.1
66,2,N,U,59,62,15.9,2,NU,9.7870966,0.097870966,SLOW,17.2523218,0.172523218,2,271,27.1
66,3,P,H,22,24,18.3,2,PH,9.881877,0.09881877,SLOW,1.8720089,0.018720089,2,271,27.1
66,4,N,H,65,67,16.9,2,NH,9.881877,0.09881877,SLOW,1.8720089,0.018720089,2,271,27.1
67,1,P,U,15,19,17,2,PU,19.4601818,0.194601818,SLOW,40.4520982,0.404520982,4,150,15
67,2,N,U,5,6,17.5,1,NU,19.4601818,0.194601818,FAST,40.4520982,0.404520982,4,150,15
67,3,P,H,20,21,15.3,2,PH,13.4930561,0.134930561,SLOW,3.1291524,0.031291524,4,150,15
67,4,N,H,38,45,26.6,2,NH,13.4930561,0.134930561,SLOW,3.1291524,0.031291524,4,150,15
68,1,P,U,53,59,26.3,2,PU,20.6586852,0.206586852,SLOW,19.0507861,0.190507861,4,138,13.8
68,2,N,U,44,47,17.2,2,NU,20.6586852,0.206586852,SLOW,19.0507861,0.190507861,4,138,13.8
68,3,P,H,29,37,16.3,2,PH,13.5822666,0.135822666,SLOW,4.9532626,0.049532626,4,138,13.8
68,4,N,H,11,12,15.8,2,NH,13.5822666,0.135822666,SLOW,4.9532626,0.049532626,4,138,13.8
69,1,P,U,21,25,15.9,2,PU,16.0716616,0.160716616,SLOW,40.6317906,0.406317906,2,125,12.5
69,2,N,U,8,9,17.9,1,NU,16.0716616,0.160716616,FAST,40.6317906,0.406317906,2,125,12.5
69,3,P,H,4,6,17.3,1,PH,11.9456934,0.119456934,FAST,4.3488006,0.043488006,2,125,12.5
69,4,N,H,4,5,16.9,1,NH,11.9456934,0.119456934,FAST,4.3488006,0.043488006,2,125,12.5
72,1,P,U,19,24,25,2,PU,18.6153135,0.186153135,SLOW,13.0561305,0.130561305,2,170,17
72,2,N,U,20,29,17.8,2,NU,18.6153135,0.186153135,SLOW,13.0561305,0.130561305,2,170,17
72,3,P,H,5,8,15.9,1,PH,15.1360468,0.151360468,FAST,7.363106,0.07363106,2,170,17
72,4,N,H,5,9,15.9,1,NH,15.1360468,0.151360468,FAST,7.363106,0.07363106,2,170,17
73,1,P,U,20,32,15.6,2,PU,16.8919735,0.168919735,SLOW,5.8585926,0.058585926,5,129,12.9
73,2,N,U,21,24,18.2,2,NU,16.8919735,0.168919735,SLOW,5.8585926,0.058585926,5,129,12.9
73,3,P,H,15,18,17.6,2,PH,23.2867657,0.232867657,SLOW,1.1716031,0.011716031,5,129,12.9
73,4,N,H,21,22,17.2,2,NH,23.2867657,0.232867657,SLOW,1.1716031,0.011716031,5,129,12.9
74,1,P,U,8,14,16.8,2,PU,15.5774142,0.155774142,SLOW,22.3099442,0.223099442,4,205,20.5
74,2,N,U,14,20,16.4,2,NU,15.5774142,0.155774142,SLOW,22.3099442,0.223099442,4,205,20.5
74,3,P,H,8,42,17.9,2,PH,17.0010141,0.170010141,SLOW,10.8503115,0.108503115,4,205,20.5
74,4,N,H,14,16,16.5,2,NH,17.0010141,0.170010141,SLOW,10.8503115,0.108503115,4,205,20.5
75,1,P,U,5,6,16.5,1,PU,12.8554662,0.128554662,FAST,25.9046268,0.259046268,4,114,11.4
75,2,N,U,3,6,16.2,1,NU,12.8554662,0.128554662,FAST,25.9046268,0.259046268,4,114,11.4
75,3,P,H,2,5,15.3,1,PH,21.8886249,0.218886249,FAST,23.780842,0.23780842,4,114,11.4
75,4,N,H,4,5,24.8,1,NH,21.8886249,0.218886249,FAST,23.780842,0.23780842,4,114,11.4
76,1,P,U,9,16,25.4,2,PU,20.0468724,0.200468724,SLOW,17.412488,0.17412488,4,186,18.6
76,2,N,U,9,15,18.1,2,NU,20.0468724,0.200468724,SLOW,17.412488,0.17412488,4,186,18.6
76,3,P,H,18,22,15.9,2,PH,19.356683,0.19356683,SLOW,8.0136812,0.080136812,4,186,18.6
76,4,N,H,10,14,15.8,2,NH,19.356683,0.19356683,SLOW,8.0136812,0.080136812,4,186,18.6
77,1,P,U,43,62,15.6,2,PU,13.7820246,0.137820246,SLOW,22.0312491,0.220312491,4,170,17
77,2,N,U,55,57,18,2,NU,13.7820246,0.137820246,SLOW,22.0312491,0.220312491,4,170,17
77,3,P,H,40,42,18,2,PH,21.5246354,0.215246354,SLOW,27.008139,0.27008139,4,170,17
77,4,N,H,40,43,17.8,2,NH,21.5246354,0.215246354,SLOW,27.008139,0.27008139,4,170,17
78,1,P,U,46,51,17,2,PU,19.7693285,0.197693285,SLOW,7.2791313,0.072791313,4,112,11.2
78,2,N,U,27,51,16.1,2,NU,19.7693285,0.197693285,SLOW,7.2791313,0.072791313,4,112,11.2
78,3,P,H,40,62,17.7,2,PH,20.1617009,0.201617009,SLOW,11.6157918,0.116157918,4,112,11.2
78,4,N,H,14,19,16.8,2,NH,20.1617009,0.201617009,SLOW,11.6157918,0.116157918,4,112,11.2
79,1,P,U,30,37,16.5,2,PU,19.9563629,0.199563629,SLOW,14.255367,0.14255367,4,154,15.4
79,2,N,U,9,13,16.6,2,NU,19.9563629,0.199563629,SLOW,14.255367,0.14255367,4,154,15.4
